id,name,dp_price,mrp_price,group_name,available_stock
11,R-Elite Jug,170,0,Premium,100
12,R-Samira Square Jug,175,0,Premium,100
13,R Apple Jug,130,0,Premium,100
14,R Lotus Jug 1.5L,215,0,Premium,100
15,R-Fish Washing Net Big Jali,45,0,Premium,100
16,R Fish Washing Net Medium Jali,33,0,Premium,100
17,R Fish Washing Net Small Jali,30,0,Premium,100
18,R RTG Mosolla-dani,110,0,Premium,100
19,R- Dish Rack,355,0,Premium,100
20,R- 34cm Cutting Board,165,0,Premium,100
21,R- 25cm Cutting Board,75,0,Premium,100
22,R- Tulip Cutlery,50,0,Premium,100
23,R- Big Dala,155,0,Premium,100
24,R- Medium Dala,105,0,Premium,100
25,R- Small Dala,65,0,Premium,100
26,R- Easy Piller,40,0,Premium,100
27,R- Frence Salt-jar,80,0,Premium,100
28,R- 500ml Handy Sauce Can,32,0,Premium,100
29,R- 250ml sauce-can,22,0,Premium,100
30,R- 1L Sauce-can,60,0,Premium,100
31,R- Square Glass Stand,70,0,Premium,100
32,R- Flower Glass Stand,80,0,Premium,100
33,R- H2O Bottle,153,0,Premium,100
34,R- Prisom Bottle,58,0,Premium,100
35,R- Boxing Bottle,74,0,Premium,100
36,R- Snacks Box,52,0,Premium,1
37,R- 600ml orkid jar,32,0,Premium,1
38,R- 1.3L orkid jar,68,0,Premium,1
39,R- 1.6L orkid jar,70,0,Premium,1
40,R- 2L orkid jar,72,0,Premium,1
41,R- 2.5L orkid jar,74,0,Premium,1
42,R- 200mL Konical jar,20,0,Premium,1
43,R- 600mL Konical jar,32,0,Premium,1
44,R- Kulfi Ice Maker,56,0,Premium,1
45,R- High Net Tool,220,0,Premium,1
46,R- Beauty Tool (R/B),83,0,Premium,1
47,R- Beauty Tool (TG),72,0,Premium,1
48,R- Easy Tool (R/B),120,0,Premium,1
49,R- Easy Tool (P Green),120,0,Premium,1
50,R- Easy Tool (T Green),95,0,Premium,1
51,R- Pre Medium Tool  (R/B),160,0,Premium,1
52,R- Pre Medium Tool  (TG),130,0,Premium,1
53,R- Nobabi Baby Chair,180,0,Premium,1
54,R- Rabbit Potty,270,0,Premium,1
55,R- Star Potty,290,0,Premium,1
56,R- Premium Potty,325,0,Premium,1
57,R- Small Nimo Bathtop,470,0,Premium,1
58,R- Big Nimo Bathtop,526,0,Premium,1
59,R- Baby Rocker,485,0,Premium,1
60,R- 4 drawer Mini Organizer,230,0,Premium,1
61,R- Corner Rack,500,0,Premium,1
62,R- Beauty Rack,465,0,Premium,1
63,R- 2 Color Beauty Rack,465,0,Premium,1
64,R- Cain Fence Rack,875,0,Premium,1
65,R- Round Mini Rack,120,0,Premium,1
66,R- 4 Step Modern kitchen Rack,1160,0,Premium,1
67,R- 5 Step Premium kitchen Rack- Double Tray,1720,0,Premium,100
68,R- Modern Show Rack,720,0,Premium,1
69,R- Lid Mug,34,0,Premium,100
70,R- 1.5L Diamond Mug,25,0,Premium,1
71,R- 2L Diamond Mug,32,0,Premium,1
72,R- 3L Design (R/B) Jug ,72,0,Premium,1
73,R- 3L Tulip Jug ,80,0,Premium,1
74,R- 6L Tulip Container,100,0,Premium,100
75,R- 8L Tulip Container,120,0,Premium,100
76,R- 12L Tulip Container,165,0,Premium,100
77,R- 16L Tulip Container,215,0,Premium,100
78,R- 20L Tulip Container,260,0,Premium,100
79,R- 20L Multi Container Loose,266,0,Premium,100
80,R- 12L Container Set,440,0,Premium,100
81,R- 16L Container Set,575,0,Premium,100
82,R-  Flora Container Set,150,0,Premium,100
83,R-  800ml Flora Container,68,0,Premium,100
84,R-  400ml Flora Container,45,0,Premium,100
85,R-  1500ml Flora Container,83,0,Premium,100
86,R-  2300ml Flora Container,125,0,Premium,100
87,R-  3.5L Spring Container,70,0,Premium,100
88,R-  Big File Tray,75,0,Premium,100
89,R-  Small File Tray,52,0,Premium,100
90,R-  Big Fruit Busket,48,0,Premium,100
91,R-  Small Fruit Busket,38,0,Premium,100
92,R-  Modern Paper Busket,62,0,Premium,100
93,R- Caino Oval Busket,660,0,Premium,100
94,R- Super Paddle Bin,285,0,Premium,100
95,R- 800 Fanel,32,0,Premium,100
96,R- 500 Fanel,25,0,Premium,100
97,R- 300 Fanel,18,0,Premium,100
98,R- 8L Cargo Box,210,0,Premium,100
99,R- 15L Cargo Box,320,0,Premium,100
100,R- 30L Cargo Box,526,0,Premium,100
101,R- 50L Cargo Box,710,0,Premium,100
102,R- 80L Cargo Box,990,0,Premium,100
103,R- 120L Cargo Box,1550,0,Premium,100
104,R- 70L Cargo Box,850,0,Premium,100
105,R- 110L Cargo Box,1450,0,Premium,100
106,R- 180L Cargo Box,2000,0,Premium,100
107,R- Classic Hanger,130,0,Premium,100
108,R- Light Hanger - 1D,130,0,Premium,100
109,R- Bonolota Mug,34,0,Premium,100
110,R- Stand Bank,76,0,Premium,100
111,R- 250ml Sauce Can,22,0,Premium,100
112,R- 1L Sauce Can,60,0,Premium,100
113,R- 2.50L Green Bodna,52,0,Premium,100
114,R- 2.50L Red Bodna,45,0,Premium,100
115,R- 4L Gallon,76,0,Premium,100
116,R- 5L Gallon,100,0,Premium,100
117,R- 7L Gallon,130,0,Premium,100
118,R- 10L Gallon,172,0,Premium,100
119,R- 15L Gallon,200,0,Premium,100
120,R- 20L Gallon,285,0,Premium,100
121,R- 25L Gallon,385,0,Premium,100
122,R- Time Mug,36,0,Premium,100
123,R- Kapor Brush,24,0,Premium,100
124,R- 30L Drum,335,0,Premium,100
125,R- 40L Drum,420,0,Premium,100
126,R- 50L Drum,545,0,Premium,100
127,R- 60L Drum,646,0,Premium,100
128,R- 70L Drum,740,0,Premium,100
129,R- 80L Drum,840,0,Premium,100
130,R- 90L Drum,900,0,Premium,100
131,R- 100L Drum,1025,0,Premium,100
132,R- 35L Design Bowl,335,0,Premium,100
133,R- 28L Design Bowl,285,0,Premium,100
134,R- 25L Design Bowl,260,0,Premium,100
135,R- 21L Design Bowl,175,0,Premium,100
136,R- 18L Design Bowl,155,0,Premium,100
137,R- 15L Design Bowl,140,0,Premium,100
138,R- 10L Design Bowl,105,0,Premium,100
139,R- 8L Design Bowl,88,0,Premium,100
140,R- 5L Design Bowl,60,0,Premium,100
141,R- 3L Design Bowl,40,0,Premium,100
142,R- 3L Design Bucket (Balti),42,0,Premium,100
143,R- 5L Design Bucket (Balti),65,0,Premium,100
144,R- 8L Design Bucket (Balti),88,0,Premium,100
145,R- 10L Design Bucket (Balti),108,0,Premium,100
146,R- 12L Design Bucket (Balti),130,0,Premium,100
147,R- 16L Design Bucket (Balti),155,0,Premium,100
148,R- 18L Design Bucket (Balti),185,0,Premium,100
149,R- 20L Design Bucket (Balti),195,0,Premium,100
150,R- 25L Design Bucket (Balti),240,0,Premium,100
151,R- 30L Design Bucket (Balti),260,0,Premium,100
152,R- 35L Design Bucket (Balti),345,0,Premium,100
153,R- 35L Design Lid Bucket (Dakna-Balti),425,0,Premium,100
154,R- 30L Design Lid Bucket (Dakna-Balti),336,0,Premium,100
155,R- 25L Design Lid Bucket (Dakna-Balti),305,0,Premium,100
156,R- 20L Design Lid Bucket (Dakna-Balti),255,0,Premium,100
157,R- 18L Design Lid Bucket (Dakna-Balti),237,0,Premium,100
158,R- 16L Design Lid Bucket (Dakna-Balti),205,0,Premium,100
159,R- 12L Design Lid Bucket (Dakna-Balti),168,0,Premium,100
160,R- 10L Design Lid Bucket (Dakna-Balti),144,0,Premium,100
161,R- 8L Design Lid Bucket (Dakna-Balti),123,0,Premium,100
162,R- 5L Design Lid Bucket (Dakna-Balti),85,0,Premium,100
163,R- 3L Design Lid Bucket (Dakna-Balti),54,0,Premium,100
164,R- 3L Super Bowl,40,0,Prestige,1
165,R- 5L Super Bowl,60,0,Prestige,1
166,R- 8L Super Bowl,88,0,Prestige,1
167,R- 10L Super Bowl,105,0,Prestige,1
168,R- 15L Super Bowl,140,0,Prestige,1
169,R- 18L Super Bowl,175,0,Prestige,1
170,R- 20L Super Bowl,185,0,Prestige,1
171,R- 25L Super Bowl,250,0,Prestige,1
172,R- 30L Super Bowl,285,0,Prestige,1
173,R- Spice Jar Big,62,0,Prestige,1
174,R- Spice Jar Medium,48,0,Prestige,1
175,R- Spice Jar Small,34,0,Prestige,1
176,R- Deluxe Organizer,650,0,Prestige,1
177,R- Unique Jug,80,0,Prestige,1
178,R- President Tool Small,88,0,Prestige,100
179,R- Medium President Tool,130,0,Prestige,100
180,R- ABC Baby Chair,185,0,Prestige,100
181,R- Banni Potty,325,0,Prestige,100
182,R- Hello Bathtub Big,385,0,Prestige,100
183,R- Hello Bathtub Small,290,0,Prestige,100
184,R- Super Rack,495,0,Prestige,100
185,R- Super Bucket (Balti) 4L ,50,0,Prestige,100
186,R- Super Bucket (Balti) 8L ,85,0,Prestige,100
187,R- Super Bucket (Balti) 10L ,100,0,Prestige,100
188,R- Super Bucket (Balti) 12L ,120,0,Prestige,100
189,R- Super Bucket (Balti) 15L ,130,0,Prestige,100
190,R- Super Bucket (Balti) 20L ,185,0,Prestige,100
191,R- Super Bucket (Balti) 25L ,210,0,Prestige,100
192,R- Super Bucket (Balti) 30L ,260,0,Prestige,100
193,R- Mother Touch Mum Pot ,45,0,Prestige,100
194,R- Babul Mug ,40,0,Prestige,100
195,R- Net Jali 56cm,165,0,Prestige,100
196,R- Net Jali 48cm,120,0,Prestige,100
197,R- Net Jali 42cm,88,0,Prestige,100
198,R- Net Jali 37cm,62,0,Prestige,100
199,R- Net Jali 34x33cm,50,0,Prestige,100
200,R- Net Jali 30cm,44,0,Prestige,100
201,R- Net Jali 28cm,38,0,Prestige,100
202,R- Deer Potty ,260,0,Prestige,100
203,R- Tulip Rack,696,0,Prestige,100
204,R- 3.5L Cosmos Jug,83,0,Prestige,100
205,R- 3.5L Cherry Jug,80,0,Prestige,100
206,R- Hat Pakha ,32,0,Prestige,100
207,R- Kula Big ,83,0,Prestige,100
208,R- Kula Small,58,0,Prestige,100
209,R- Mota Cutting Board,240,0,Prestige,100
210,R- Lotus Salt Jar,57,0,Prestige,100
211,R- Jol Kanda,22,0,Prestige,100
212,R- 450 Marlo Bottle,100,0,Prestige,100
213,R- Marbel Bottle 450ml,70,0,Prestige,100
214,R- Marbel Bottle 550ml,75,0,Prestige,100
215,R- Marbel Bottle 650ml,80,0,Prestige,100
216,R- Cute Bottle 200ml,60,0,Prestige,100
217,R- Cute Bottle 400ml,70,0,Prestige,100
218,R- 3P Container Set,140,0,Prestige,100
219,R- Dust Busket Medium,76,0,Prestige,100
220,R- Family Busket ,375,0,Prestige,100
221,R- Dust Pan (Belcha) Big,40,0,Prestige,100
222,R- Dust Pan (Belcha) Small,25,0,Prestige,100
223,R- Slim Dust Pan (Belcha),22,0,Prestige,100
224,R- Elegant Dust Pan (Belcha),32,0,Prestige,100
225,R- Square Medicine Box,100,0,Prestige,100
226,R- RTG Medicine Box,105,0,Prestige,100
227,R- 2.25L Blue Bodna,48,0,Prestige,100
228,R- 2.25L Red Bodna,40,0,Prestige,100
229,R- Moving Shirt Hanger,125,0,Prestige,100
230,R- Patla Rehal,68,0,Prestige,100
231,R- Holy Rehal,76,0,Prestige,100
232,R- Noha Jar 425ml ,25,0,Prestige,100
233,R- Noha Jar 300ml ,22,0,Prestige,100
234,R- Noha Jar 160ml ,18,0,Prestige,100
